Page Number,School Name,Address 1,Address 2,City,State,Zip,Phone,Principal Name,School Website,District,Grades Served,Data Quality Score,Data Quality Issues
1,21ST CENTURY EARLY LEARNING FOUNDATIONS ACADEMY,"400 S Oklahoma Ave, Weslaco, TX 78596",400 S Oklahoma Ave,Weslaco,TX,78596,(956) 969-6620,Claudia Martinez,http://www.wisd.us/,Weslaco ISD,Prekindergarten - Prekindergarten,100,
1,A B DUNCAN COLLEGIATE ELEM,"1101 S 8th St, Floydada, TX 79235",1101 S 8th St,Floydada,TX,79235,(806) 983-5332,Mrs Monica Smith,http://www.floydadaisd.esc17.net/,Floydada Collegiate ISD,Early Education - Grade 5,100,
1,A B MCBAY ELEM,"1000 N Ross, Mexia, TX 76667",1000 N Ross,Mexia,TX,76667,(254) 562-4030,Mrs Carolyn Cummings,http://www.mexiaisd.net/,Mexia ISD,Early Education - Grade 2,100,
1,A G ELDER ELEM,"513 Henderson St, Joshua, TX 76058",513 Henderson St,Joshua,TX,76058,(817) 202-2500,Mrs Kim Cassidy,http://www.joshuaisd.org/,Joshua ISD,Early Education - Grade 5,100,
1,A M OCHOA ELEM,"424 S 11th St, Donna, TX 78537",424 S 11th St,Donna,TX,78537,(956) 464-1900,Mr Alfonso Sayavedra,http://www.donnaisd.net/,Donna ISD,Prekindergarten - Grade 5,100,
1,A M PATE ELEM,"3800 Anglin Dr, Fort Worth, TX 76119",3800 Anglin Dr,Fort Worth,TX,76119,(817) 815-3800,Ms Rochelle Horton,http://www.fortworthisd.org/,Fort Worth ISD,Prekindergarten - Grade 5,100,
1,A N RICO ELEM,"2202 N International Blvd, Weslaco, TX 78596",2202 N International Blvd,Weslaco,TX,78596,(956) 969-6815,Ms Jennifer Luna,http://rico.wisd.us/,Weslaco ISD,Prekindergarten - Grade 5,100,
1,A P BEUTEL ELEM,"300 Ligustrum St, Lake Jackson, TX 77566",300 Ligustrum St,Lake Jackson,TX,77566,(979) 730-7165,Laura Morris,Not Found,Brazosport ISD,Kindergarten - Grade 4,90,School Website not available
1,A V CATO ELEM,"4501 Barbara Rd, Fort Worth, TX 76114",4501 Barbara Rd,Fort Worth,TX,76114,(817) 252-2400,Mrs Meredith Michelle Strambler,http://avc.castleberryisd.net/,Castleberry ISD,Prekindergarten - Grade 5,100,
1,A+ ACADEMY ELEM,"10327 Rylie Rd, Dallas, TX 75217",10327 Rylie Rd,Dallas,TX,75217,(972) 557-5578,Michelle Thrash,http://www.rylieffa.com/,A+ Academy,Prekindergarten - Grade 6,100,
1,AARON PARKER ELEM,"98 CR 44112, Powderly, TX 75473",98 CR 44112,Powderly,TX,75473,(903) 732-3066,Mrs Kristin Hughes,http://www.northlamar.net/,North Lamar ISD,Prekindergarten - Grade 4,100,
1,ABBETT ELEM,"730 W Muirfield Rd, Garland, TX 75044",730 W Muirfield Rd,Garland,TX,75044,(972) 675-3000,Ms Kelly Williams,http://www.garlandisdschools.net/abbett,Garland ISD,Kindergarten - Grade 5,100,
1,ABBOTT SCHOOL,"219 S First St, Abbott, TX 76621",219 S First St,Abbott,TX,76621,(254) 582-3011,Jon K Coker,http://www.abbottisd.org/,Abbott ISD,Prekindergarten - Grade 12,100,
1,ABERNATHY ELEM,"505 7th St, Abernathy, TX 79311",505 7th St,Abernathy,TX,79311,(806) 298-4930,Jenci Chambers,http://www.abernathyisd.com/,Abernathy ISD,Early Education - Grade 5,100,
1,ACADEMY EARLY CHILDHOOD CENTER,"311 N Bumblebee Dr, Little River, TX 76554",311 N Bumblebee Dr,Little River,TX,76554,(254) 982-4621,Mrs Kelli Schwake,http://www.academyisd.net/,Academy ISD,Prekindergarten - Grade 2,100,
2,ACADEMY AT CARRIE F THOMAS,"8200 O'brian Way, North Richland Hills, TX 76180",8200 O'brian Way,North Richland Hills,TX,76180,(817) 547-3000,Dr Sabrina Lindsey,http://www.birdvilleschools.net/,Birdville ISD,Prekindergarten - Grade 5,100,
2,ACADEMY AT NOLA DUNN,"201 S Dobson St, Burleson, TX 76028",201 S Dobson St,Burleson,TX,76028,(817) 245-3300,Mr Michael Utterback,http://academy.burlesonisd.net/,Burleson ISD,Kindergarten - Grade 5,100,
2,ACADEMY OF DALLAS,"2324 S Vernon Ave, Dallas, TX 75224",2324 S Vernon Ave,Dallas,TX,75224,(214) 371-9600,Ronny Young,http://academyofdallas.com/,Academy of Dallas,Prekindergarten - Grade 8,100,
2,ACCELERATED INTERDISCIPLINARY ACAD,"12825 Summit Rdg Dr, Houston, TX 77085",12825 Summit Rdg Dr,Houston,TX,77085,(713) 728-9330,Drechelle Edwards,http://www.aiacharterschools.org/,Accelerated Intermediate Academy,Prekindergarten - Grade 6,100,
2,ACHZIGER ELEM,"3300 Ridgeranch Rd, Mesquite, TX 75181",3300 Ridgeranch Rd,Mesquite,TX,75181,(972) 290-4180,Mrs Robin Cathcart,http://www.mesquiteisd.org/,Mesquite ISD,Early Education - Grade 5,100,
2,ACTON ELEM,"3200 Acton Rd, Granbury, TX 76049",3200 Acton Rd,Granbury,TX,76049,(817) 408-4200,Mrs Maggie Walton,http://www.granburyisd.org/,Granbury ISD,Kindergarten - Grade 5,100,
2,ADA MAE FAUBION ELEM,"1209 Cypress Creek Rd, Cedar Park, TX 78613",1209 Cypress Creek Rd,Cedar Park,TX,78613,(512) 570-7500,Staci Cordell,Not Found,Leander ISD,Early Education - Grade 5,90,School Website not available
2,ADAM ELEM,"11303 Honeygrove Ln, Houston, TX 77065",11303 Honeygrove Ln,Houston,TX,77065,(281) 897-4485,Ms Carrie Mccollister,http://www.cfisd.net/,Cypress-Fairbanks ISD,Early Education - Grade 5,100,
2,ADAMS ELEM,"1492 Is Grove Rd, Cleburne, TX 76031",1492 Is Grove Rd,Cleburne,TX,76031,(817) 202-2000,Brandi Geltmeier,http://c-isd.com/,Cleburne ISD,Prekindergarten - Grade 5,100,
2,ADAMS ELEM,"2220 Sherry St, Arlington, TX 76010",2220 Sherry St,Arlington,TX,76010,(682) 867-2130,Nathan Tave,http://www.aisd.net/adams-elementary,Arlington ISD,Early Education - Grade 6,100,
2,ADAMS HILL ELEM,"9627 Adams Hill Dr, San Antonio, TX 78245",9627 Adams Hill Dr,San Antonio,TX,78245,(210) 397-1400,Ms Annette Castillo-Robinson,http://nisd.net/,Northside ISD,Prekindergarten - Grade 5,100,
2,ADELFA BOTELLO CALLEJO ELEM,"7817 Military Pkwy, Dallas, TX 75227",7817 Military Pkwy,Dallas,TX,75227,(972) 749-5700,Christie L Samuel,http://www.dallasisd.org/callejo,Dallas ISD,Prekindergarten - Grade 5,100,
2,ADELLE TURNER ELEM,"5505 S Polk St, Dallas, TX 75232",5505 S Polk St,Dallas,TX,75232,(972) 794-6300,Michael D Nickson,http://www.dallasisd.org/turner,Dallas ISD,Prekindergarten - Grade 5,100,
2,ADRIAN SCHOOL,"301 Matador Dr, Adrian, TX 79001",301 Matador Dr,Adrian,TX,79001,(806) 538-6203,Dawn Brooks,http://adrianisd.net/,Adrian ISD,Prekindergarten - Grade 12,100,
2,ADVANCED LEARNING ACADEMY,"621 W Euclid, San Antonio, TX 78212",621 W Euclid,San Antonio,TX,78212,(210) 738-9763,Emily K Bieser,http://schools.saisd.net/page/026.homepage,San Antonio ISD,Prekindergarten - Grade 12,100,
3,ADVANTAGE ACADEMY,"955 Freetown Rd, Grand Prairie, TX 75051",955 Freetown Rd,Grand Prairie,TX,75051,(214) 276-5800,Tonya Williams,http://www.advantageacademy.org/,Advantage Academy,Prekindergarten - Grade 12,100,
3,AGNES COTTON ACADEMY,"1616 Blanco Rd, San Antonio, TX 78212",1616 Blanco Rd,San Antonio,TX,78212,(210) 738-9780,Rawan Hammoudeh,http://schools.saisd.net/page/117.homepage,San Antonio ISD,Prekindergarten - Grade 8,100,
3,AGUA DULCE ELEM,"1 Longhorn Dr, Agua Dulce, TX 78330",1 Longhorn Dr,Agua Dulce,TX,78330,(361) 998-2335,Nora Lopez,http://www.adisd.net/,Agua Dulce ISD,Prekindergarten - Grade 5,100,
3,AIDA C ESCOBAR ELEM,"901 W Kelly St, Pharr, TX 78577",901 W Kelly St,Pharr,TX,78577,(956) 354-2920,Catarina Espinoza,http://www.psjaisd.us/,Pharr-San Juan-Alamo ISD,Prekindergarten - Grade 5,100,
3,AIKEN ELEM,"6290 Southmost Rd, Brownsville, TX 78521",6290 Southmost Rd,Brownsville,TX,78521,(956) 986-5200,Deyanira Garcia,http://www.bisd.us/aiken/,Brownsville ISD,Prekindergarten - Grade 5,100,
3,AIKIN ELEM,"12300 Pleasant Vly Dr, Dallas, TX 75243",12300 Pleasant Vly Dr,Dallas,TX,75243,(469) 593-1820,Allison Congdon,http://risd.org/,Richardson ISD,Prekindergarten - Grade 6,100,
3,AIKIN ELEM,"3100 Pine Mill Rd, Paris, TX 75460",3100 Pine Mill Rd,Paris,TX,75460,(903) 737-7443,Mrs Kimberly Donnan,http://aes.parisisd.net/,Paris ISD,Kindergarten - Grade 4,100,
3,AIKMAN ELEM,"900 Ave K, Hereford, TX 79045",900 Ave K,Hereford,TX,79045,(806) 363-7640,Mrs Sandra Maldonado,http://www.herefordisd.net/,Hereford ISD,Kindergarten - Grade 5,100,
